"Legenda","Relevancia"
"""É necessário um plano de prevenção dos efeitos extremos da mudança do clima e isso só será possível com parceria dos governos estadual municipal e federal. Ninguém dá conta de um problema dessa magnitude sozinho"" disse a ministra Marina Silva em Rio Branco com Waldez Góes.

Segundo o Painel Intergovernamental sobre Mudanças Climáticas (IPCC) há cerca de 33 bilhões de pessoas no mundo em situação muito vulnerável à mudança do clima. Na última década a possibilidade de essas pessoas morrerem em razão de eventos extremos foi 15 vezes maior do que as que vivem em regiões com baixa vulnerabilidade.","positivo"
"Da capital do Acre a comitiva do governo federal seguiu para Manaus na tarde deste domingo (26/03).

Os ministros Marina Silva e Waldez Góes conheceram o Centro de Cooperação de Manaus que faz o monitoramento de situações de crise na cidade. Também estiveram no bairro Jorge Teixeira onde oito pessoas morreram e outras ficaram desabrigadas após deslizamento de terra.

Marina reiterou a necessidade de se criar mecanismo para decretar estado permanente de emergência climática nos municípios mais vulneráveis à mudança do clima seguindo avaliação do Cemaden.

 Ângelo Miguel/@mdregional_br","negativo"
"A ministra do Meio Ambiente e Mudança do Clima Marina Silva encaminhou ofício ao @mjsp_gov solicitando apuração criminal para identificar e responsabilizar os caçadores que mataram duas onças-pintadas e exibiram suas cabeças decepadas ao lado de um filhote sob tortura. Veja a nota na íntegra no site do MMA (link nos stories).","positivo"
"O Ministério da Cultura (@minc) voltou à esplanada e o MMA agora é Ministério do Meio Ambiente e Mudança do Clima.

As ministras Margareth Menezes e Marina Silva e a primeira-dama Janja participaram da inauguração da nova fachada nesta quarta-feira (29/3).","irrelevante"
"O MMA voltou e o @minc também!","positivo"
"O MMA e o @minpovosindigenas planejam parcerias e ações para o abril indígena.

O MMA vai apoiar o Acampamento Terra Livre (ATL) tradicional mobilização indígena que ocorre em abril e envolve etnias de todo o país. As ministras avaliaram resultados das ações de proteção a Terras Indígenas e o processo de retomada da TI Yanomami em Roraima. Também foi abordada a destinação de 57 milhões de hectares de florestas públicas na Amazônia.","positivo"
"Hoje o Parque Nacional da Serra da Canastra (@parnacanastra) comemora 51 anos! 

Criado em 1972 este Parque fica no sudoeste de Minas Gerais e tem quase 200 mil hectares de Cerrado protegido e paisagens espetaculares. Dentro do Parque está localizada a nascente de um dos rios mais importantes do Brasil o São Francisco.

O Parque também é o lar de inúmeras espécies como o lobo-guará (Chrysocyon brachyurus) o veado-campeiro (Ozotoceros bezoarticus) e a tesoura-do-brejo (Gubernetes yetapa) (fotos 1 3 e 5).

Um de seus moradores mais ilustres é o pato-mergulhão (Mergus octosetaceus) uma das espécies de aves mais ameaçadas do mundo e encontrado em poucos locais do Brasil (foto 8). Esta ave só vive em córregos muito bem preservados como as cachoeiras da Canastra.

O Parque está aberto durante todo o ano e tem gestão do @icmbio que cuida das Unidades de Conservação federais brasileiras. A visita é recomendada entre os meses de abril a outubro quando as chuvas diminuem.

 @marcosamend","irrelevante"
"A ministra Marina Silva reuniu as seis secretarias do MMA e quatro instituições vinculadas (Ibama ICMBio SFB e ANA) para fazer um balanço dos cem dias de governo e do planejamento para o ano.

Entre as ações foi apresentado o Plano de Ação para Prevenção e Controle do Desmatamento na Amazônia (PPCDAm) que articula a atuação de 19 ministérios e entrará em consulta pública na próxima semana; e o aumento de 219% dos autos por infrações contra a flora e de 133% das apreensões na Amazônia no trimestre em comparação com a média para o mesmo período nos quatro anos anteriores.

O plano de governo tem como eixos a reconstrução dos órgãos ambientais a recuperação da participação social a transição para uma economia de baixo carbono soluções para mitigação e adaptação às mudanças climáticas a revogação de normas que causam danos ao meio ambiente e a retomada da agenda internacional de clima e meio ambiente.","positivo"
"Multas por desmatamento na Amazônia triplicaram no primeiro trimestre de 2023.

O número de autos por desmatamento e outras infrações contra a flora na Amazônia de janeiro a março aumentou 219% em relação à média para o mesmo período nos quatro anos anteriores segundo dados do @ibamagov.

As apreensões de bens e produtos relacionados a crimes ambientais tiveram alta de 133% e o número de embargos de propriedades cresceu 93% no mesmo período. Essas medidas descapitalizam os infratores e impedem que obtenham financiamento além de restringir o comércio de produtos ilegais.

Mesmo com a priorização de operações na região amazônica as autuações ambientais aumentaram 78% em todo o país na comparação do primeiro trimestre deste ano com a média para o mesmo período nos anos de 2019 a 2022. A retomada das atribuições do Ibama e o comando do combate ao desmatamento pela área ambiental foram decisivos para os resultados obtidos apesar do baixo número de fiscais.

Serão mantidas as operações para retirar invasores de terras indígenas como a executada desde o dia 6 de fevereiro no território Yanomami que resultou até o momento na destruição de 285 acampamentos de garimpeiros 8 aeronaves 23 barcos 3 tratores e 124 motores. Também foram apreendidas 22 toneladas de cassiterita 21 mil litros de combustível e 5 kg de mercúrio entre outros equipamentos de apoio logístico ao garimpo.

 Bruno Kelly/MMA","positivo"
"#OBrasilVoltou","irrelevante"
"Avião é destruído e dois homens são presos em operação conjunta do @ibamagov @prfoficial e @mindefesa contra o garimpo ilegal na Terra Indígena Yanomami.

A ação ocorreu com apoio de helicóptero da @marinhaoficial meia hora após o fechamento completo do espaço aéreo no território. Barreira instalada pelo Ibama no rio Uraricoera o principal da região impede a entrada de garimpeiros e suprimentos desde 20 de fevereiro.

Outra operação nesta semana apreendeu 2 aeronaves 14 toneladas de cassiterita vários equipamentos e 8 mil litros de querosene de aviação. Foram embargadas 16 pistas de pouso. Empresas que distribuem o combustível irregularmente em Roraima foram multadas em R$ 126 milhões.

Desde o início das operações foram destruídos cerca de 300 acampamentos de garimpeiros 9 aeronaves dezenas de barcos e tratores e outros equipamentos usados por criminosos. Foram apreendidas mais de 30 toneladas de cassiterita e 20 mil litros de combustível.","positivo"
"""#OBrasilVoltou a cuidar de seus biomas sobretudo da maior floresta tropical do planeta.""

Em reunião com os ministros o presidente @lulaoficial destacou os resultados alcançados em #100dias de governo e reforçou os compromissos com o meio ambiente.","positivo"
"Reunião entre MMA @Mapa_Brasil e @mdagovbr. O novo Plano Safra será a base da transição para agricultura de baixo carbono tendo como referência o programa ABC. O Brasil será cada vez mais uma potência ambiental florestal e agrícola.

#OBrasilVoltou","positivo"
"O novo Plano de Ação para Prevenção e Controle do Desmatamento na Amazônia Legal (PPCDAm) está em consulta pública e receberá contribuições até 26/4. A portaria foi assinada nesta segunda (10/4) pela ministra Marina Silva.

O plano coordenado pelo MMA teve participação direta de outros 12 ministérios e de diversos órgãos federais. A meta é zerar o desmatamento na Amazônia até 2030.

Lançado em 2004 o PPCDAm foi extinto pelo governo anterior em 2019. O desmatamento medido pelo @inpe.oficial teve aumento recorde nos últimos 4 anos.

São 4 eixos de atuação definidos com base em dados atualizados sobre a dinâmica do desmatamento na Amazônia:

- Atividades Produtivas Sustentáveis
- Monitoramento e Controle Ambiental
- Ordenamento Territorial e Fundiário
- Instrumentos Normativos e Econômicos

Acesse a consulta pública e o documento completo nos stories ou no site do MMA (mma.gov.br).","positivo"
"Operação Metaverso desmonta fraude para esquentar madeira ilegal.

@ibamagov excluiu 12 milhão de m³ de produtos madeireiros em créditos fraudulentos no sistema. Caso utilizados poderiam ""legalizar"" volume equivalente a 60 mil caminhões carregados. É o maior bloqueio já realizado.

As fraudes mais frequentes estão relacionadas à aprovação de planos de manejo à conversão de tora para madeira serrada às espécies autorizadas para extração e comercialização ao uso do mesmo documento para várias cargas e à falta de baixa nos créditos após a comercialização.

Agentes aplicaram 23 autos de infração que totalizam R$ 33 milhões. Foram fiscalizados 21 empreendimentos localizados no Distrito Federal e em oito estados: Acre Amapá Goiás Mato Grosso do Sul Minas Gerais Pernambuco Roraima e Tocantins.

As ações contra fraudes e corte ilegal de árvores foram intensificadas para interromper o processo de destruição da Amazônia herdado da gestão anterior.

Essas medidas serão seguidas por ações estruturantes de médio e longo prazo no âmbito do Plano de Prevenção e Controle do Desmatamento na Amazônia Legal (PPCDAm) que está em consulta pública.

A matéria completa está no site do Ibama (link nos stories).","positivo"
"Em discurso na posse de @dilmarousseff no Novo Banco de Desenvolvimento o presidente @lulaoficial reiterou o compromisso do governo brasileiro com a sustentabilidade e o combate à crise climática.

A ministra @marinasilvaoficial acompanha a comitiva brasileira na China.","positivo"
"Na semana dos #100dias veja como o MMA atuou no início da retomada da Terra Indígena Yanomami desde fevereiro. O território foi invadido por milhares de garimpeiros nos últimos anos.

 Divulgação/MMA
#OBrasilVoltou","irrelevante"
"Em declaração conjunta assinada em Pequim Brasil e China se comprometem a ""ampliar aprofundar e diversificar a cooperação bilateral em questões climáticas"".

O documento cita a colaboração no ""apoio à eliminação do desmatamento e da exploração madeireira ilegal global através da aplicação efetiva de suas respectivas leis de proibição de importações e exportações ilegais"".

A cooperação no desenvolvimento e compartilhamento de tecnologias incluindo o novo satélite CBERS 6 que permitirá um melhor monitoramento da cobertura florestal. E o intercâmbio de conhecimentos melhores práticas e outras formas de cooperação para conservação e manejo sustentável das florestas regeneração e reflorestamento de áreas degradadas.

Na declaração a China apoia a candidatura do Brasil para sediar a COP30. O documento cria um Subcomitê de Meio Ambiente e Mudança Climática sob o Comitê de Coordenação e Cooperação de Alto Nível China-Brasil (COSBAN).

Os países vão cooperar na transição para uma economia global sustentável e de baixo carbono; cidades inteligentes; infraestrutura verde; desenvolvimento de indústrias verdes; energias renováveis incluindo acesso e apoio a comunidades isoladas; mobilidade elétrica; inovação pesquisa e desenvolvimento de tecnologias verdes; e finanças e investimentos verdes.

Leia o documento completo no site do MMA (link nos stories).","positivo"
"""Brasil e China terão ampla cooperação em transição energética proteção de florestas e rastreabilidade de commodities"" disse @marinasilvaoficial em Pequim.

Os países anunciaram a criação de um Subcomitê de Meio Ambiente e Mudança Climática no âmbito da cooperação bilateral.

Em discurso a ministra destacou a colaboração para combater crimes ambientais e o impedimento de acesso a mercados para produtos com origem na devastação ambiental entre outros temas. Também citou a experiência chinesa na restauração de 70 milhões de ha de áreas degradadas.

Marina ressaltou a transversalidade das políticas ambientais no novo governo e o papel dos dois países em desenvolvimento:

""A declaração ressalta essa visão ampla. Nossos países podem dar grande contribuição na cooperação Sul-Sul e no alcance dos objetivos do Acordo de Paris.""
A China apoia a candidatura do Brasil como sede da COP30 que será realizada em 2025.

""O mundo inteiro ganha com a volta do protagonismo do Brasil e a retomada do entendimento e cooperação com a China.""

Veja matéria completa no site do MMA (link nos stories).

 Divulgação/Planalto","positivo"
"@ibamagov apreende três mil cabeças de gado em áreas embargadas na Amazônia. As áreas foram desmatadas ilegalmente e não podem ser usadas.

No total 27 pessoas receberam notificações por descumprimento do embargo e deverão retirar o gado de uma área de 25 mil hectares.

“O Ibama permanecerá agindo com rigor nesses locais enquanto o desmatamento ilegal não for interrompido. Se os alertas de monitoramento por satélite indicarem novas áreas críticas a operação será ampliada” disse o presidente do órgão Rodrigo Agostinho.

O bloqueio de atividades produtivas tem como objetivo a recuperação da floresta. Descumprir embargo configura novo crime ambiental.

Caso as irregularidades permaneçam serão aplicadas novas multas e os rebanhos poderão ser apreendidos e destinados a programas sociais.

As ações contra crimes ambientais foram intensificadas para interromper o processo de destruição da Amazônia herdado da gestão anterior.

Essas medidas serão seguidas por ações estruturantes de médio e longo prazo no âmbito do PPCDAm que está em consulta pública.

A operação Retomada ocorre inicialmente nos municípios de Lábrea e Manicoré no Amazonas e em Pacajá no Pará regiões com grande concentração de desmatamento. Tem apoio da @prfoficial e da Força Nacional.

Veja matéria completa no site do Ibama (link nos stories).","positivo"
"A ministra Marina Silva recebeu o ministro do @foreignanddevelopmentoffice Zac Goldsmith para tratar do fortalecimento da cooperação entre Brasil e Reino Unido nas agendas de clima biodiversidade e proteção de comunidades tradicionais.

“Estamos comprometidos em trabalhar com o Brasil e a comunidade internacional na elaboração de um pacote de iniciativas integrando parceiros públicos e privados que atenda aos desafios que serão apresentados na COP28” disse Goldsmith durante o encontro.

Marina destacou os resultados do Ibama na Amazônia no primeiro trimestre citando o aumento de 219% das multas de 93% nos embargos de áreas com desmatamento ilegal e outros crimes ambientais e de 133% nas apreensões de bens e equipamentos.

A equipe do MMA apresentou algumas das principais ações realizadas nos primeiros 100 dias como o novo PPCDAm o fortalecimento do Ibama a ação integrada na Terra Indígena Yanomami e a retomada do diálogo com as comunidades tradicionais.","positivo"
"O MMA e o @governopara assinaram nesta terça-feira (18/4) três portarias.

A parceria tem objetivo de fortalecer a integração no controle e na fiscalização de áreas críticas de desmatamento e crimes ambientais no Pará.

O governador Helder Barbalho ressaltou o trabalho do MMA e destacou o esforço do seu estado na transição econômica para a sustentabilidade.

""Se resolvermos a questão do Pará resolvemos grande parte das dificuldades de toda a Amazônia e do Brasil.""

A ministra Marina Silva também destacou a colaboração. ""É um trabalho que nossas equipes já vêm fazendo. Queremos reconhecer as boas práticas. Aqueles que têm bons resultados precisam liderar pelo exemplo para que outros possam acompanhar.""

A 1ª portaria institui um GT com a missão de coordenar ações estratégicas de ordenamento territorial e fundiário e fiscalização ambiental em áreas críticas de desmatamento e degradação florestal no Estado do Pará.

Outra portaria institui GT para propor medidas que otimizem o uso do Cadastro Ambiental Rural (CAR) como instrumento de gestão ambiental no Estado. O CAR pode apoiar programas de monitoramento de controle de desmatamento e degradação ilegais e guiar incentivos econômicos.

A terceira portaria cria GT para integrar o sistema de controle madeireiro do Pará (SISFlora) com o SINAFlor nacional sob gestão do @ibamagov.

A ação vai facilitar a troca de informações e gerar um banco de dados unificado para atuar na rastreabilidade e monitoramento.

""A assinatura é no papel mas eu quero que ela fique inscrita no DNA de cada árvore que seja preservada de cada espécie da nossa biodiversidade que seja preservada de cada comunidade tradicional e indígena que seja respeitada na nossa região"" resumiu a ministra @marinasilvaoficial.","positivo"
"O novo Plano Safra deverá ser a base da transição para uma agricultura de baixo carbono. O Brasil pode ser uma potência ambiental florestal e agrícola.

Essa foi a pauta do encontro entre MMA @mdagovbr @min.fazenda @mapa_brasil.","positivo"
"19 de abril dia Nacional dos Povos Indígenas.

#brasiléterraindígena
#nuncamaisumbrasilsemnós","irrelevante"
"19 de abril dia Nacional dos Povos Indígenas.

Após 4 anos o MMA abre as portas para os Povos Indígenas protetores de nossa biodiversidade. Esta é uma das tarefas da Secretaria Nacional de Povos e Comunidades Tradicionais e Desenvolvimento Rural Sustentável criada em decreto em 1⁰ de janeiro.

O MMA é parceiro dos Povos Indígenas e defende sua participação qualificada na elaboração e execução de políticas públicas. 

Defende também que sejam garantidas as condições fundamentais para sua sobrevivência física e cultural e seu direito a uma vida digna. É indispensável garantir a regularização fundiária e a desintrusão de suas terras.

Os territórios indígenas têm papel central na manutenção da biodiversidade em todo o mundo mas principalmente no país que tem a maior riqueza biológica. Protegê-los também está em harmonia com a proteção de espécies do clima e do planeta.

Além do atendimento a uma grande demanda reprimida por escuta diálogo e apoio o MMA tem atuado firmemente combatendo ilícitos em diversos territórios.

Nos últimos meses com outros órgãos federais um intenso trabalho tem sido realizado na retomada da Terra Indígena Yanomami. Além do controle do rio Uraricoera seguidas operações levaram a prejuízos para as operações de garimpo ilegal descapitalizando criminosos e interrompendo sua logística.

De 6/2 a 18/4 foram aplicados 30 autos de infração totalizando 55 milhões em multas. Foram apreendidos ou destruídos dentre outros:

- 13 aviões
- 24 barcos
- 312 acampamentos
- 3 tratores/PCs
- 188 motores e motobombas
- 36 ton de cassiterita
- 26 mil litros de combustível

No MMA o movimento indígena suas lideranças e organizações são reconhecidos como interlocutores legítimos destacando-se a sua significativa participação na construção e execução das políticas de governo.

O reconhecimento e o pleno respeito dos direitos humanos constitucionais e socioambientais dos indígenas bem como dos seus direitos fundiários são fundamentais para o aperfeiçoamento da democracia brasileira e para se resgatar uma dívida histórica com esses povos.

:
1 4 7- Paulo de Araújo/MMA
2 6 - Bruno Kelly/MMA
3 - Pedro Magalhães/APIB
5 8 - Divulgação/MMA","positivo"
"A ministra do Meio Ambiente e Mudança do Clima Marina Silva afirmou em discurso na noite desta quarta-feira (19/4) em Buenos Aires na Argentina que o Brasil perdeu quatro anos na implementação do Acordo de Escazú com a decisão do governo anterior de não encaminhar o tratado para ratificação pelo Congresso.

Marina participou da 2ª Reunião da Conferência das Partes (COP-2) do Acordo de Escazú que já foi ratificado por 15 países da América Latina. É o primeiro tratado regional com foco específico em meio ambiente e direitos humanos.

O Brasil assinou o acordo em 2018 após amplo processo de participação da sociedade mas não houve avanço nos últimos quatros anos. Uma das entregas nos 100 primeiros dias da atual gestão foi o envio do acordo para o Congresso com aval das pastas de Meio Ambiente Diretos Humanos e Cidadania Povos Indígenas e Relações Exteriores.

A construção do Acordo de Escazú está ligada às Conferências Rio92 e Rio+20 realizadas no Rio de Janeiro. Trata-se de instrumento jurídico pioneiro de proteção ambiental e de direitos humanos um pacto regional pela promoção da justiça ambiental e climática.

""Estou aqui trazendo a mensagem do presidente Lula que coloca a questão climática no mais alto nível de prioridade que se compromete em alcançar desmatamento zero na Amazônia até 2030 e que quer fortalecer a nossa democracia combater desigulagade criando um novo ciclo de prosperidade com sustentabilidade econômica social ambiental política e ética"" discursou Marina.

""Graças a Deus que Lula voltou. Graças a Deus que Marina voltou e que cuidam da Amazônia. Graças a Deus que há um governo no Brasil que é aberto e observa que a discussão da mudança do clima não é uma discussão mentirosa é uma tremenda crise para a humanidade"" disse o presidente da Argentina Alberto Fernández.","negativo"
"Termina hoje em Buenos Aires a COP 2 do Acordo de Escazú. A ministra Marina Silva representou o governo brasileiro e teve encontros com representantes do governo argentino e uruguaio além de discursar no evento principal (o vídeo na íntegra está no post anterior).

""Estou aqui trazendo a mensagem do presidente Lula que coloca a questão climática no mais alto nível de prioridade que se compromete em alcançar desmatamento zero na Amazônia até 2030 e que quer fortalecer a nossa democracia combater desigulagade criando um novo ciclo de prosperidade com sustentabilidade econômica social ambiental política e ética"" discursou Marina.

Marina sugeriu a realização de um encontro de ministros do Meio Ambiente do Mercosul durante cúpula prevista para julho e o ministro argentino apoiou a proposta. A Argentina preside o Mercosul e o Brasil assumirá a coordenação no próximo semestre.

A construção do Acordo de Escazú está ligada às Conferências Rio92 e Rio+20 realizadas no Rio de Janeiro. Trata-se de instrumento jurídico pioneiro de proteção ambiental e de direitos humanos um pacto regional pela promoção da justiça ambiental e climática.


1- Juan Cabandié ministro do Meio Ambiente e Desenvolvimento Sustentável da Argentina

2- Robert Bouvier ministro do Meio Ambiente do Uruguai

3 Gabriel Katopodis ministro de Obras Públicas da Argentina

4- Cecilia Nicolini secretária de Mudanças Climáticas Desenvolvimentos Dustentável e Inovação da Argentina","irrelevante"
"O governo dos Estados Unidos anunciou  a doação de R$ 25 bilhões para o Fundo Amazônia. O pacote inclui recursos para outras iniciativas de combate ao desmatamento reflorestamento e mitigação da mudança do clima.

Em discurso no encontro do Major Economies Forum onde foi feito o anúncio o presidente Lula falou sobre o compromisso do governo brasileiro em acabar com o desmatamento e promover uma economia sustentável na Amazônia. Passe para o lado para ver.

Mais informações no site do MMA (mma.gov.br). Link nos stories.","positivo"
"Em entrevista após o anúncio dos EUA da doação de R$ 25 bilhões para o Fundo Amazônia Marina Silva explicou como foram as negociações nestes 3 meses e como o recurso será usado.

A ministra conversou com o Enviado Especial dos EUA para o Clima John Kerry pouco antes da entrevista e ele disse que o aporte inédito é apenas o início da colaboração. Os EUA vão ajudar a mobilizar novas parcerias e captar recursos de diversas fontes com o objetivo de alcançar US$ 2 bilhões.

""É um novo paradigma"" disse a ministra. Segundo ela nos primeiros dois anos parte dos recursos poderá ser usada no combate ao desmatamento queimadas apoio a situações de emergência como na Terra Indígena Yanomami em ordenamento territorial e fundiário e outras ações mas o compromisso é que o fundo volte a investir em pesquisa ciência tecnologia inovação e projetos de desenvolvimento sustentável.","positivo"
"22 de abril é o Dia da Terra.
Após 4 anos de destruição o MMA voltou a proteger os biomas do Brasil combater desmatamento e promover a bioeconomia e a agricultura sustentável.

Desde janeiro o @ibamagov atua para reduzir as taxas recorde de desmatamento herdadas da gestão anterior.

No 1⁰ trimestre as multas por desmatamento na Amazônia aumentaram em 219% em relação à média para o mesmo período nos últimos 4 anos. Embargos apreensões e destruição de equipamentos aumentaram 93% 133% e 192%. Foram realizadas operações para fiscalizar garimpos invasão de áreas protegidas pecuária em área desmatada ilegalmente fraudes na extração de madeira entre outros crimes.

Na TI Yanomami o Ibama iniciou operação para retirar invasores e controlar o acesso ao território. Até o momento foram destruídas 20 aeronaves mais de 300 acampamentos de garimpeiros centenas de motores e dezenas de barcos e tratores. Também foram apreendidas 35 toneladas de cassiterita e 26 mil litros de combustível entre outros equipamentos.

Medidas estruturantes de combate ao desmatamento estão sendo desenvolvidas no âmbito do Plano de Prevenção e Controle do Desmatamento na Amazônia Legal (PPCDAm) que está em consulta pública até 26 de abril. O PPCDAm vai integrar políticas de 19 ministérios em quatro eixos de atuação: atividades produtivas sustentáveis monitoramento e controle ambiental ordenamento territorial e fundiário e instrumentos normativos e econômicos.

O Fundo Amazônia foi restabelecido e vai apoiar ações de fiscalização e proteção a povos indígenas. Paralisado em 2019 com mais de R$ 3 bilhões em caixa o fundo receberá mais R$ 25 bi do governo dos EUA segundo anúncio feito nesta semana e R$ 200 milhões da Alemanha.

O fundo também financiará atividades produtivas com floresta em pé promovendo pesquisa e desenvolvimento tecnológico na transição para uma economia florestal sustentável.

O Plano Safra está em processo de reformulação para tornar a agricultura de baixo carbono o padrão no campo. Em conjunto com @mapa_brasil @mdagovbr e @min.fazenda o MMA fixa diretrizes sustentáveis para este que é o principal eixo de financiamento  da produção agrícola no país.","positivo"
"A ministra Marina Silva recebeu nesta terça-feira (25/4) o presidente da Comissão de Meio Ambiente e Desenvolvimento Sustentável da Câmara deputado José Priante para tratar de questões relacionadas à pauta ambiental no Congresso. Foram debatidos temas como os projetos que tramitam na Câmara e o acordo Mercosul-União Europeia.","irrelevante"
"""Temos orgulho de muitos avanços para os povos indígenas nos primeiros 4 meses de governo. E vamos seguir juntas porque estamos na mesma luta.""

Veja a mensagem da ministra Marina Silva na Plenária Mulheres Indígenas do Acampamento Terra Livre.","positivo"
"A ministra Marina Silva voltou às origens da luta das juventudes rurais e falou hoje sobre as diretrizes do novo governo no evento do 4º Festival Nacional da Juventude Rural: Semeando Resistência e Cultivando um Mundo Novo.","positivo"
"O governo federal anunciou nesta sexta-feira (28/4) no Acampamento Terra Livre (ATL) a homologação de seis Terras Indígenas (TIs). A homologação é o último ato no processo de demarcação dos territórios.

O presidente Lula assinou os atos ao lado da ministra do Meio Ambiente e Mudança do Clima Marina Silva da ministra dos Povos Indígenas Sônia Guajajara da presidente da Funai Joênia Wapichana além de outros representantes do governo e lideranças indígenas de todo o Brasil como o cacique Raoni e a deputada federal Célia Xakriabá.

O ATL é a maior mobilização indígena do país e reuniu milhares de pessoas em Brasília ao longo da semana.

São as primeiras TIs demarcadas desde 2018. O governo anterior paralisou a tramitação dos processos. As seis TIs são:

- TI Arara do Rio Amônia no Acre.
- TI Kariri-Xocó em Alagoas.
- TI Rio dos Índios no Rio Grande do Sul.
- TI Tremembé da Barra do Mundaú no Ceará.
- TI Uneiuxi no Amazonas.
- TI Avá-Canoeiro em Goiás.","positivo"
"Demarcação de Terras Indígenas e desmatamento zero até 2030. Esse foi o recado do presidente Lula no encerramento do Acampamento Terra Livre.","positivo"
"O Governo Federal determinou o reforço das ações de combate ao garimpo ilegal na Terra Indígena Yanomami. Neste domingo o presidente Lula convocou reunião de emergência em razão de ataques de garimpeiros a indígenas e equipes de fiscalização.

Na segunda imagem armas apreendidas com garimpeiros após os ataques de domingo.

As ministras Marina Silva Sonia Guajajara (Povos Indígenas) e Nísia Trindade (Saúde) estão em Roraima.

Está prevista para 16h30 (horário local 17h30 em Brasília) uma entrevista coletiva no Auditório do Hangar da Base Aérea de Boa Vista.

Mais informações no site do MMA (link nos stories).","positivo"
"As ministras Marina Silva Sonia Guajajara (Povos Indígenas) e Nísia Trindade (Saúde) foram a Roraima nesta segunda-feira (1/5) com representantes do governo federal e lideranças Yanomami para acompanhar as ações na Terra Indígena (TI).

As ministras se reuniram com comandos locais e parte da delegação sobrevoou regiões afetadas pelo garimpo. A viagem ocorre no dia seguinte à reunião de emergência convocada pelo presidente Lula após ataques a indígenas e equipes de fiscalização.

Em entrevista a ministra Marina Silva afirmou que não haverá recuo: ""As ações serão intensificadas"" declarou.""A operação é de pacificação da terra Yanomami. O que não acontece de forma pacífica é em função da ação de criminosos. Os garimpeiros criaram um problema social um problema ambiental um problema de destruição de um povo de uma etnia. As crateras que estão abertas a insistência em permanecer são uma demonstração de que existem forças muito poderosas economicamente por trás dessa ação criminosa"" afirmou.

O presidente do @ibamagov Rodrigo Agostinho disse que foram destruídos 330 acampamentos de garimpeiros e 20 aeronaves em 3 meses de operação. ""Temos a orientação de intensificar o trabalho para acabar de uma vez por todas com as ilegalidades. O Ibama não vai sair da Terra Yanomami enquanto não tiver esgotado a atividade ilegal na região.""

 1234789 - MMA
 56 - MPI","positivo"
"""O governo não vai recuar. As ações serão intensificadas. Vamos reforçar as equipes do Ibama da PRF da Polícia Federal com suporte das Forças Armadas para dar uma resposta à altura.""","positivo"
"O governo federal publicou portaria nesta terça-feira (2/5) que autoriza concurso público com 98 vagas de analista ambiental para o Ministério do Meio Ambiente e Mudança do Clima. O cargo exige formação de nível superior.

Mais informações no site do MMA: link nos stories.","irrelevante"
"O governo federal realizou ação emergencial no território Yanomami Roraima com participação do MMA @minpovosindigenas e @minsaude depois de três indígenas terem sido baleados por garimpeiros ilegais. Ilson Xirixana 36 anos levou um tiro na cabeça e morreu. Ele atuava como agente de saúde.

Acabar com o garimpo ilegal é um dos compromissos do governo do Brasil. Muitos já foram desativados mas parte dos garimpeiros clandestinos resiste violentamente.

A Operação Libertação continuará atuando para defender os direitos dos povos indígenas e para combater o garimpo ilegal e a violência no território.

 Audiovisual/PR","negativo"
"A ministra Marina Silva recebeu nesta quarta-feira (3/5) em Brasília Eve Bazaiba ministra do Meio Ambiente e da Conservação da Natureza da República Democrática do Congo.

Entre outros temas trataram do avanço da cooperação trilateral com a Indonésia. Juntos os três países detêm mais da metade das florestas tropicais do planeta.

Também foi abordado o fortalecimento da cooperação bilateral para manejo sustentável de florestas bioeconomia e restauração de ecossistemas.","positivo"
"Discurso da ministra Marina Silva na retomada do Conselho de Desenvolvimento Econômico Social Sustentável (CDESS).","irrelevante"
"O governo federal retomou o Conselho de Desenvolvimento Econômico Social Sustentável (CDESS) o chamado Conselhão espaço de diálogo com a sociedade criado em 2003 que havia sido desativado em 2019. 

O presidente Luiz Inácio Lula da Silva coordenou nesta quinta-feira (4/5) no Palácio do Itamaraty a primeira reunião do grupo que tem 246 conselheiros.

“Nenhum governo por mais competente responsável e humanista que seja é capaz de resolver sozinho os problemas de um país. Por isso a convocação deste conselho e de outras instâncias de participação popular. Além dos desafios da fome e da desigualdade falo também de urgências ambientais que nos obrigam em um horizonte cada vez mais próximo a reduzir emissões de carbono e a zerar o desmatamento no Brasil” disse Lula.

O grupo vai assessorar o presidente na formulação de políticas e diretrizes destinadas ao desenvolvimento econômico social sustentável.

Em discurso a ministra Marina Silva ressaltou o compromisso de todo o governo com a agenda da sustentabilidade: ""Celebro a ideia de uma política ambiental transversal que esteja no topo da prioridade do governo. Que o fortalecimento do sistema nacional de meio ambiente seja uma prioridade. Que a questão da sustentabilidade esteja perpassando 19 ministérios e que todos os setores terão essa agenda como estratégica. O conselho é o espaço para que a gente possa ter essa visão ampliada.""

 234 - MMA
 15 - Ricardo Stuckert/PR","irrelevante"
